sid,lat,lon,org
FT1_116,23.47917,120.449038333,LASS
FT1_399,24.0635383333,120.53437,LASS
FT1_115,23.456825,120.441676667,LASS
FT_SYPS1,22.6853333333,120.49172,LASS
FT1_398,24.124045,120.632143333,LASS
YK_160,22.998725,120.245488333,LASS
FT1_928,23.7672566667,120.70626,LASS
FT1_024,25.10678,121.73266,LASS
CiXin001,24.6820683333,121.757685,LASS
FT1_386,24.1812033333,120.68399,LASS
LASS-PI_014,25.0804733333,121.571991667,LASS
FT1_399,24.0635833333,120.534123333,LASS
FT_SYPS1,22.6855133333,120.491626667,LASS
FT1_024,25.1065383333,121.732646667,LASS
FT1_CCH01,22.9961383333,120.228033333,LASS
FT1_384,24.1649516667,120.698908333,LASS
WF_14010751,0,0,LASS
WF_1154687,0,0,LASS
FT1_395,24.124095,120.566801667,LASS
FT1_399,24.0635033333,120.53429,LASS
FT_SYPS1,22.6852733333,120.49148,LASS
YK_160,22.9986983333,120.245498333,LASS
FT1_928,23.7673516667,120.706275,LASS
FT1_401,24.140582,120.703321,LASS
FT1_024,25.106645,121.732695,LASS
FT1_CCH01,22.9962283333,120.228053333,LASS
FT1_384,24.1650416667,120.698858333,LASS
WF_12743501,22.633505,120.39658,LASS
FT1_CCUME_Factory202,23.561634,120.479778,LASS
FT1_386,24.181115,120.683943333,LASS
LASS-PI_014,25.08032,121.572036667,LASS
FT1_116,23.479245,120.448971667,LASS
WF_1664490,24.963594,121.23086,LASS
WF_1155599,24.1793,120.64718,LASS
FT_SYPS1,22.685395,120.491725,LASS
YK_160,22.9987,120.245496667,LASS
FT1_928,23.76739,120.706366667,LASS
FT1_024,25.1067733333,121.732683333,LASS
LASS-PI_014,25.0805533333,121.571993333,LASS
FT_SYPS1,22.68526,120.491346667,LASS
YK_160,22.9987016667,120.245518333,LASS
FT1_928,23.767335,120.706308333,LASS
FT1_024,25.10676,121.732498333,LASS
FT1_CCH01,22.9961333333,120.228033333,LASS
FT1_384,24.1649333333,120.698876667,LASS
FT1_386,24.1811233333,120.683901667,LASS
LASS-PI_014,25.08054,121.571891667,LASS
FT1_116,23.47934,120.448975,LASS
FT1_399,24.0633983333,120.53429,LASS
WF_14011412,0,0,LASS
FT1_966,24.1755216667,120.669055,LASS
FT1_024,25.1066966667,121.732603333,LASS
FT1_384,24.1650316667,120.698856667,LASS
FT1_386,24.1811,120.683891667,LASS
LASS-PI_014,25.0806016667,121.57198,LASS
FT1_399,24.0633016667,120.534316667,LASS
FT1_966,24.1766316667,120.669918333,LASS
FT1_928,23.7672416667,120.706298333,LASS
FT1_024,25.106705,121.732578333,LASS
FT1_CCH01,22.99615,120.227951667,LASS
FT1_386,24.1812883333,120.68391,LASS
LASS-PI_014,25.0805483333,121.571875,LASS
FT1_116,23.479245,120.448981667,LASS
FT1_115,23.4569183333,120.441706667,LASS
FT1_399,24.063395,120.534181667,LASS
FT1_966,24.1756,120.668921667,LASS
FT1_928,23.7673333333,120.706265,LASS
FT1_384,24.16513,120.698863333,LASS
FT1_386,24.1812766667,120.683791667,LASS
LASS-PI_014,25.0805866667,121.571973333,LASS
FT1_116,23.4792916667,120.448866667,LASS
FT1_399,24.064285,120.534651667,LASS
FT1_966,24.175895,120.66912,LASS
FT1_928,23.76735,120.706196667,LASS
FT1_CCH01,22.9959533333,120.227946667,LASS
FT1_386,24.1813766667,120.683816667,LASS
LASS-PI_014,25.08066,121.571875,LASS
FT1_116,23.4792233333,120.448935,LASS
FT1_115,23.457005,120.44167,LASS
FT1_399,24.0640383333,120.534136667,LASS
FT1_966,24.1757766667,120.669013333,LASS
YK_160,22.9987716667,120.245586667,LASS
FT1_928,23.7672783333,120.706245,LASS
FT1_384,24.1650383333,120.698875,LASS
LASS-PI_014,25.0809416667,121.571835,LASS
FT1_116,23.47913,120.448933333,LASS
FT1_966,24.1753983333,120.668513333,LASS
FT1_399,24.0634533333,120.534033333,LASS
YK_160,22.9986683333,120.24561,LASS
FT1_928,23.76729,120.706246667,LASS
FT1_CCH01,22.99589,120.227873333,LASS
FT1_384,24.16495,120.698851667,LASS
FT1_031,25.0850183333,121.57385,LASS
FT1_386,24.1812766667,120.683846667,LASS
CiXin001,24.682125,121.757635,LASS
LASS-PI_014,25.0807616667,121.571863333,LASS
FT1_116,23.47921,120.448983333,LASS
FT1_115,23.4569066667,120.441665,LASS
FT1_966,24.175675,120.668996667,LASS
FT1_399,24.0633,120.534651667,LASS
FT1_928,23.7672833333,120.706343333,LASS
FT1_CCH01,22.9959633333,120.227933333,LASS
FT1_384,24.16495,120.69885,LASS
FT1_386,24.181485,120.683576667,LASS
CiXin001,24.6821933333,121.757596667,LASS
LASS-PI_014,25.080895,121.571836667,LASS
FT1_116,23.4791483333,120.449065,LASS
FT1_395,24.1240766667,120.566705,LASS
FT1_966,24.17507,120.66801,LASS
FT1_399,24.0638866667,120.533901667,LASS
FT1_928,23.7672216667,120.706193333,LASS
FT1_CCH01,22.995965,120.227966667,LASS
FT1_386,24.1815733333,120.683468333,LASS
CiXin001,24.682165,121.75769,LASS
LASS-PI_014,25.0809833333,121.571776667,LASS
FT1_116,23.4792383333,120.44908,LASS
FT1_966,24.1753633333,120.66854,LASS
FT1_399,24.06338,120.534276667,LASS
FT1_928,23.7672783333,120.70626,LASS
FT1_CCH01,22.9960616667,120.227963333,LASS
CiXin001,24.682185,121.757508333,LASS
LASS-PI_014,25.0808216667,121.571833333,LASS
FT1_399,24.06304,120.534178333,LASS
FT1_399,24.0644616667,120.533743333,LASS
FT1_928,23.7672533333,120.706268333,LASS
FT1_384,24.1649066667,120.69895,LASS
CiXin001,24.6822083333,121.757535,LASS
FT1_386,24.1815916667,120.683491667,LASS
LASS-PI_014,25.0809883333,121.571771667,LASS
FT1_116,23.4791566667,120.449133333,LASS
FT1_399,24.063385,120.533421667,LASS
YK_160,22.9987683333,120.245566667,LASS
FT1_928,23.7672583333,120.70615,LASS
FT1_398,24.12395,120.632148333,LASS
CiXin001,24.6821283333,121.757616667,LASS
FT1_386,24.1815883333,120.683495,LASS
LASS-PI_014,25.0809766667,121.571911667,LASS
FT1_399,24.062755,120.516168333,LASS
FT_SYPS1,22.6852083333,120.491541667,LASS
YK_160,22.9986483333,120.245591667,LASS
FT1_CCH01,22.9960466667,120.227963333,LASS
